地段位置或門牌,社區簡稱,交易日期,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註,路段
虎尾鎮忠孝路２３６號七樓,虎尾巨星,110/12/30,458,10.8,42.57,66.56%,公寓(5樓含以下無電梯),25,七層/八層,房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,無,無,住家用,,虎尾鎮忠孝路
虎尾鎮忠孝路２３６號五樓,虎尾巨星,112/04/03,520,12.2,42.57,66.56%,華廈(10層含以下有電梯),27,五層/八層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用,,虎尾鎮忠孝路
虎尾鎮忠孝路２３８號八樓,虎尾巨星,112/05/07,456,12.1,37.6,66.91%,華廈(10層含以下有電梯),27,八層/八層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,有,住家用,,虎尾鎮忠孝路
虎尾鎮忠孝路２４０號五樓之一,虎尾巨星,113/04/28,400,14.32,27.94,58.83%,華廈(10層含以下有電梯),28,五層/八層,房地(土地+建物),土:1 建:1車:0,2房2廳1衛,,有,有,住家用,,虎尾鎮忠孝路
虎尾鎮忠孝路９６號,,111/06/20,1060,14.61,72.56,,透天厝,33,全/四層,房地(土地+建物),土:1 建:1車:0,7房2廳4衛,,無,無,住商用,其他增建;,虎尾鎮忠孝路
虎尾鎮民權路２７號,,112/07/10,1350,26.29,51.36,,透天厝,42,全/四層,房地(土地+建物),土:1 建:1車:0,6房1廳4衛,,無,無,住商用,頂樓加蓋;其他增建;,虎尾鎮民權路
虎尾鎮民權路６９號,,112/10/30,1080,25.83,41.81,,透天厝,32,全/五層,房地(土地+建物),土:1 建:1車:0,3房1廳3衛,,無,無,住商用,,虎尾鎮民權路
虎尾鎮科園路４６號,,112/09/18,2450,24.8,98.81,,透天厝,2,全/四層,房地(土地+建物)+車位,土:3 建:1車:1,5房2廳6衛,,無,有,住家用,,虎尾鎮科園路
虎尾鎮科園路５２號,,112/08/08,1930,22.27,86.68,,透天厝,2,全/四層,房地(土地+建物),土:3 建:1車:0,5房3廳5衛,,無,有,住家用,,虎尾鎮科園路
虎尾鎮科園路５８號,,111/05/24,1858,21.09,88.1,,透天厝,1,全/四層,房地(土地+建物),土:3 建:1車:0,5房3廳5衛,,有,有,住家用,,虎尾鎮科園路
虎尾鎮科園路６０號,,111/02/26,1553,17.92,86.68,,透天厝,,全/四層,房地(土地+建物),土:3 建:1車:0,5房3廳5衛,,有,有,住家用,建物第一次登記後移轉,虎尾鎮科園路
虎尾鎮科園路６２號,,112/09/21,2160,24.92,86.68,,透天厝,2,全/四層,房地(土地+建物),土:3 建:1車:0,5房3廳5衛,,有,有,住家用,"樣品屋(詳如裝潢前後的照片)含裝潢費3,000,000元;",虎尾鎮科園路
虎尾鎮科園路６６號,,111/04/19,1660,19.15,86.68,,透天厝,1,全/四層,房地(土地+建物),土:3 建:1車:0,5房3廳5衛,,有,有,住家用,建物第一次登記後移轉,虎尾鎮科園路
虎尾鎮科園路３６３號,湯布院,111/07/29,1510,16.09,93.86,,透天厝,4,全/四層,房地(土地+建物),土:2 建:1車:0,4房2廳5衛,,有,無,住家用,,虎尾鎮科園路
虎尾鎮科園路３８１之１０號,湯布院,112/02/11,1625,19.71,82.43,,透天厝,4,全/四層,房地(土地+建物)+車位,土:3 建:1車:2,4房2廳5衛,,無,無,住家用,含傢俱設備費;,虎尾鎮科園路
虎尾鎮虎興北路２５號,,111/09/06,1638,23.37,70.08,,透天厝,1,全/三層,房地(土地+建物),土:2 建:1車:0,4房2廳5衛,,無,無,住家用,成屋之交易案； 角間、地坪大。,虎尾鎮虎興北路
